Generation 100
Point 16.42658,Rate 0.05167155,ParamCnt 4
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.67504,Rate 0.03604356,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.65042,Rate 0.03553176,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.57847,Rate 0.03403552,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.53614,Rate 0.03315533,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.46808,Rate 0.03174005,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.46005,Rate 0.03157303,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.43219,Rate 0.03099361,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.42724,Rate 0.03089076,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.32279,Rate 0.02871881,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.30742,Rate 0.02839909,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.22064,Rate 0.02659457,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.15725,Rate 0.02527651,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 15.07381,Rate 0.02354144,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 14.93611,Rate 0.02067786,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
0,0,-22.79249


Point 14.71642,Rate 0.01610951,ParamCnt 4
-0.04878426,166.2064,-64.40063
0,-0.8952495,42.32823
-2.746728,0,-30
0,56.98375,-58.30074
0,0,-70.12562
1.80617,184.5099,6.063128
0,3.340712,51.10398
1.119733,0,-30
0,-62.04421,-48.78159
0,0,-50.13336

-0.399232,172.8588,-7.604048
0,-1.338559,13.72321
-1.319455,0,-30
0,61.17093,-13.84939
0,0,-0.7308055
3.612113,188.1496,-51.61821
0,1.12573,12.30116
1.633673,0,-30
0,-69.14072,-50.348
0,0,-4.283274

-0.5381532,171.4591,-67.49254
0,-1.643876,5.716097
-1.268437,0,-30
0,66.17492,-32.34671
0,0,-52.7737
3.425523,183.5391,-33.66928
0,0.8553433,25.93781
3.48924,0,-30
0,-55.64119,-14.4523
0,0,-85.49014

-2.776128,177.3331,-21.69329
0,-1.993522,39.27338
-3.746655,0,-30
0,59.85506,-11.02837
0,0,-48.759
1.579667,181.0864,-23.29968
0,0.6177783,80.73335
2.409485,0,-30
0,-64.75466,-71.67396
