Generation 20
Point 101.5072,Rate 0.07177299,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
-10.9118,0,14.3392
86.28744,164.9429,1.210599
-20.1717,0,1.658705
-6.644783,275.5948,25.76376
-24.06633,0,15.19591


Point 100.4277,Rate 0.06991407,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
-10.9118,0,14.3392
86.28744,164.9429,1.210599
-20.1717,0,1.658705
-6.644783,275.5948,25.76376
-24.06633,0,15.19591


Point 98.99715,Rate 0.06745036,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
-10.9118,0,14.3392
86.28744,164.9429,1.210599
-20.1717,0,1.658705
-6.644783,275.5948,25.76376
-24.06633,0,15.19591


Point 95.50018,Rate 0.06142809,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
-10.9118,0,14.3392
86.28744,164.9429,1.210599
-20.1717,0,1.658705
-6.644783,275.5948,25.76376
-24.06633,0,15.19591


Point 94.11481,Rate 0.05904227,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
-10.9118,0,14.3392
86.28744,164.9429,1.210599
-20.1717,0,1.658705
-6.644783,275.5948,25.76376
-24.06633,0,15.19591


Point 89.13654,Rate 0.05046898,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
-10.9118,0,14.3392
86.28744,164.9429,1.210599
-20.1717,0,1.658705
-6.644783,275.5948,25.76376
-24.06633,0,15.19591


Point 85.87638,Rate 0.04485452,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
-10.9118,0,14.3392
86.28744,164.9429,1.210599
-20.1717,0,1.658705
-6.644783,275.5948,25.76376
-24.06633,0,15.19591


Point 85.77554,Rate 0.04468085,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
-10.9118,0,14.3392
86.28744,164.9429,1.210599
-20.1717,0,1.658705
-6.644783,275.5948,25.76376
-24.06633,0,15.19591


Point 85.5877,Rate 0.04435737,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
-10.9118,0,14.3392
86.28744,164.9429,1.210599
-20.1717,0,1.658705
-6.644783,275.5948,25.76376
-24.06633,0,15.19591


Point 82.80502,Rate 0.0395652,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
-10.9118,0,14.3392
86.28744,164.9429,1.210599
-20.1717,0,1.658705
-6.644783,275.5948,25.76376
-24.06633,0,15.19591


Point 82.38609,Rate 0.03884373,ParamCnt 4
-8.567463,66.17601,246.9659
-20.57236,0,4.941998
205.1685,2.772127,-15.38305
-4.939867,0,34.88733
26.81149,173.3573,17.24986
-29.37473,0,32.13111
-14.65508,291.0856,309.6402
-16.93703,0,19.94124

-6.073325,78.76706,180.4018
-21.57969,0,4.809337
53.07487,9.928849,-7.784058
-28.06776,0,39.16785
128.6148,173.2844,14.36726
-16.29792,0,11.82103
-12.59806,278.3663,73.14053
-12.71521,0,21.67301

-3.630183,68.39032,108.3037
-12.27026,0,24.93055
256.5331,28.76806,-4.186335
-12.519,0,6.264117
285.4128,178.0797,5.336517
-19.27546,0,44.36088
-9.71129,281.5525,221.7615
-4.136632,0,20.3013

-16.94217,66.73982,63.10161
-18.74103,0,5.645739
114.4725,11.09174,-2.125757
