Generation 40
Point 10.80889,Rate 0.07651643,ParamCnt 4
0,0,-31.84238


Point 9.050715,Rate 0.03169242,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.862666,Rate 0.02689817,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.753357,Rate 0.02411137,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.699612,Rate 0.02274115,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.625502,Rate 0.02085174,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.624944,Rate 0.02083752,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.596134,Rate 0.02010303,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.396724,Rate 0.01501912,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.389386,Rate 0.01483205,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.335855,Rate 0.01346731,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.318731,Rate 0.01303073,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.308267,Rate 0.01276394,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
0,0.2486558,38.1198
3.000249,0,-30
0,-68.37928,-51.11183
0,0,-31.84238


Point 8.268612,Rate 0.01175295,ParamCnt 4
-0.7859579,177.1604,45.33733
0,-3.698849,26.15158
-2.460251,0,-30
0,59.13618,-27.47388
0,0,-81.70175
1.997091,184.3316,7.578068
0,1.271489,38.22121
0.2480311,0,-30
0,-68.68643,-68.07801
0,0,-65.31487

-0.4246917,168.1323,-42.31795
0,-2.197009,18.9082
-1.398247,0,-30
0,65.24123,-76.14272
0,0,-24.64235
3.181696,181.4145,-10.43203
0,0.05837727,34.49488
1.657115,0,-30
0,-58.97812,-67.90677
0,0,-12.87156

-3.786089,177.5494,47.69387
0,-0.2356835,83.28326
-3.498629,0,-30
0,63.18917,-71.25468
0,0,-49.94613
2.408745,182.8236,-45.31382
0,1.88045,48.67498
0.9641986,0,-30
0,-55.64597,-3.279607
0,0,-53.51768

-0.9335514,176.6755,-36.64877
0,-3.558564,1.610303
-0.7104312,0,-30
0,61.58392,-49.78726
0,0,-53.50722
1.767267,178.3221,32.57164
